English,简体中文
HOST GAME,创建游戏
PLAY OFFLINE,离线游玩
SETTINGS,设置
CREDITS,制作人员名单
QUIT,退出
NEW ISLAND IN,新岛屿即将出现：
A GAME MADE BY,制作方
A COLLAB BETWEEN,合作方
THANKS FOR PLAYING!,感谢游玩！
THIS GAME USES VOICE CHAT,本游戏包含语音聊天功能
PLEASE USE HEADPHONES AND A MICROPHONE,请使用耳机与麦克风获取更佳体验
SELECT MICROPHONE,选择麦克风
CONTINUE,继续
VERSION OUT OF DATE,版本过时
Close and update the game.,关闭并更新游戏。
OK,好
RESUME,恢复
INVITE FRIENDS,邀请好友
ACCOLADES,勋荣
CONTROLS,操作方式
LEAVE GAME,离开游戏
MOVE,移动
AIM,瞄准
CLIMB,攀爬
HELPING HAND,伸出援手
INTERACT,互动
DROP / THROW (HOLD),丢下/投掷（按住）
JUMP,跳跃
CROUCH,蹲伏
SPRINT / LEAP (WHILE CLIMBING),冲刺/跳跃（攀爬时）
PING LOCATION,标记位置
EMOTE,表情
BACK,返回
Controls remapping is not currently supported.\nYou can use Steam Input to remap gamepads.,目前尚不支持控制按键重设。\n您可使用 Steam Input 对手柄进行重映射。
PEAKS SUMMITTED: #,已登上顶峰：#
PARTICIPATION BADGE,参与奖章
Have a friend escape the island without you.,让一名好友逃离岛屿而不带上你。
BEACHCOMBER BADGE,赶海人奖章
Climb past the SHORE.,爬过海岸。
TRAILBLAZER BADGE,辟路者奖章
Climb past the TROPICS.,爬过雨林。
ALPINIST BADGE,登山家奖章
Climb past the ALPINE.,爬过雪山。
VOLCANOLOGY BADGE,火山学奖章
Climb past the CALDERA.,爬过火山。
PEAK BADGE,顶峰奖章
Reach the PEAK.,抵达顶峰。
COOKING BADGE,烹饪奖章
Cook 20 meals at campfires.,在营火处做 20 次饭。
HAPPY CAMPER BADGE,欢乐露营奖章
Receive 5 Morale Boosts from campfires.,从营火处获得 5 次士气提升。
BOULDERING BADGE,攀岩奖章
Place 10 pitons.,放置 10 根岩钉。
TOXICOLOGY BADGE,毒理学奖章
Restore 200 total poison by using items.,使用道具恢复总计 200 点中毒值。
FORAGING BADGE,觅食奖章
Eat 5 different berries in a single expedition.,单次探险食用 5 种不同浆果。
ESOTERICA BADGE,玄学奖章
Obtain a mystical item.,获得一件神秘道具。
LONE WOLF BADGE,独狼奖章
Escape the island in a solo expedition.,在单人探险中逃离岛屿。
CLUTCH BADGE,救星奖章
Resurrect 3 scouts in a single expedition.,单次探险复活 3 名童子军。
BALLOON BADGE,气球奖章
Escape the island without taking fall damage.,逃离岛屿且未遭受掉落伤害。
LEAVE NO TRACE BADGE,环保奖章
Escape the island without placing anything on the mountain.,逃离岛屿且未在山上放置任何东西。
HASTY BADGE,匆忙奖章
Escape the island in under an hour.,在一小时内逃离岛屿。
BING BONG BADGE,宾邦奖章
Help Bing Bong escape the island.,帮助宾邦逃离岛屿。
NATURALIST BADGE,自然主义奖章
Escape the island without eating any packaged food.,逃离岛屿且未食用任何包装食品。
GOURMAND BADGE,美食家奖章
"Escape the island after cooking and eating a coconut half, a honeycomb, a yellow winterberry, and an egg.",逃离岛屿前烹饪并食用半边椰子、蜂巢蜜、黄雪莓、煎蛋。
MYCOLOGY BADGE,真菌学奖章
Eat four different non-toxic mushrooms in a single expedition.,单次探险食用四种无毒蘑菇。
FIRST AID BADGE,急救奖章
Heal your friends for 100 points of injury in a single expedition.,单次探险为好友治疗 100 点伤害。
SURVIVALIST BADGE,生存专家奖章
Escape the island without ever losing consciousness.,逃离岛屿且未曾失去意识。
ANIMAL SERENADING BADGE,对牛弹琴奖章
Play the bugle for a capybara.,为水豚演奏喇叭。
ARBORIST BADGE,树艺师奖章
Reach the top of a really big tree.,登顶一棵真正够大的树。
MENTORSHIP BADGE,师徒奖章
Have a 1-on-1 with the Scoutmaster.,和童军领队来个一对一。
KNOT TYING BADGE,打结奖章
Place 100m of rope in a single expedition.,单次探险放置 100m 绳索。
EMERGENCY PREPAREDNESS BADGE,应急准备奖章
Heal an unconscious friend with an item to save them from death.,使用道具救治一名昏迷好友助其离死亡。
HIGH ALTITUDE BADGE,高海拔奖章
Climb 5000m total.,总计攀爬 5000m。
PLUNDERER BADGE,盗贼奖章
Open 15 luggages in a single expedition.,单次探险开启 15 件行李箱。
BOOKWORM BADGE,书呆子奖章
Read all of Scoutmaster Myres's journal entries.,阅读迈尔斯领队的全部日志条目。
ENDURANCE BADGE,坚韧奖章
Climb 50m upwards without touching the ground.,未接触地面向上攀爬 50m。
You don't have this badge yet!,尚未获得此奖章！
AIRLINE FOOD,飞机餐
ANTI-ROPE SPOOL,反重绳索
ANTIDOTE,解毒剂
GREEN CRISPBERRY,绿脆莓
RED CRISPBERRY,红脆莓
YELLOW CRISPBERRY,黄脆莓
BACKPACK,背包
BANDAGES,绷带
BEEHIVE,蜂巢
BLUE BERRYNANA,蓝莓蕉
BROWN BERRYNANA,棕莓蕉
BERRYNANA PEEL,莓蕉皮
BERRYNANA PEEL,莓蕉皮
BERRYNANA PEEL,莓蕉皮
BERRYNANA PEEL,莓蕉皮
PINK BERRYNANA,粉莓蕉
YELLOW BERRYNANA,黄莓蕉
BING BONG,宾邦
BINOCULARS,望远镜
BOUNCE FUNGUS,弹力菇
TICK,蜱虫
BUGLE,喇叭
